Price,Close,High,Low,Open,Volume
Ticker,ABEV3.SA,ABEV3.SA,ABEV3.SA,ABEV3.SA,ABEV3.SA
Date,,,,,
2023-01-02,11.963921546936035,12.183133839572598,11.820591298436177,12.140977505747845,14995900
2023-01-03,11.94705867767334,12.132546051360384,11.896470919735005,11.938627250672761,36363800
2023-01-04,12.014509201049805,12.199996585783211,11.871178149764697,12.03980267949271,23791800
2023-01-05,12.048233032226562,12.149407741038027,11.921764847228507,12.03137098279054,31031500
2023-01-06,12.073526382446289,12.107251285031582,11.938626772105117,12.056664333186193,20889800
2023-01-09,12.14097785949707,12.19999705019743,12.03137251405043,12.048234565632523,24448600
2023-01-10,12.259015083312988,12.309602844730868,12.014509311934473,12.022940739514985,35535000
2023-01-11,12.048233032226562,12.469794720973558,11.761570955228187,12.233720400413471,74419600
2023-01-12,11.888041496276855,11.947059883105458,11.517066711472225,11.635104289194647,69959500
2023-01-13,11.702553749084473,11.845884801950136,11.60981045772765,11.803728468036965,44291300
2023-01-16,11.129228591918945,11.584515190549922,11.11236654222564,11.567653140856615,58837000
2023-01-17,11.685689926147461,11.761571160094055,11.129228615959265,11.213541276803287,68143400
2023-01-18,11.618240356445312,11.854315490005261,11.576084025162098,11.744709350294958,32154400
2023-01-19,11.500204086303711,11.677260042024708,11.424322847556828,11.525497564530946,51799200
2023-01-20,11.407459259033203,11.500203346676926,11.272559645077013,11.42432211281029,33626000
2023-01-23,11.314716339111328,11.533928620868215,11.264128580219296,11.432753907149301,29938500
2023-01-24,11.474908828735352,11.474908828735352,11.247265935907718,11.3147157414911,17822600
2023-01-25,11.559223175048828,11.584516654818412,11.356873728761704,11.424323544190745,22021000
2023-01-26,11.584516525268555,11.677260623495247,11.407460560731034,11.55079161793118,22793400
2023-01-27,11.508634567260742,11.592947232395137,11.458047611432239,11.592947232395137,23904300
2023-01-30,11.407459259033203,11.550790299877935,11.331578025166564,11.542358872989393,32850700
2023-01-31,11.517065048217773,11.5845148531568,11.382165438339719,11.48334014574826,35608800
2023-02-01,11.1123685836792,11.576085890313786,10.834137878072339,11.500205446656228,136662100
2023-02-02,11.05334758758545,11.407459483211998,10.960604302184263,11.011192060444545,49730600
2023-02-03,10.943742752075195,11.146093005162184,10.884724363793493,11.019623996474662,40568400
2023-02-06,10.97746753692627,11.12922920883903,10.918448349565317,10.99432958755428,25649000
2023-02-07,10.9268798828125,11.028054599756622,10.867861498944722,10.977467643317148,22344400
2023-02-08,11.120797157287598,11.16295348758916,10.901585687036695,10.994328970448034,24324300
2023-02-09,10.97746753692627,11.154522686813628,10.918448349565317,11.087072876171254,17206200
2023-02-10,10.842568397521973,10.952174553831584,10.623356888968008,10.943743125485016,49142000
2023-02-13,11.070210456848145,11.10393536104612,10.834136127462326,10.842566750462964,16722700
2023-02-14,10.960604667663574,11.264128815150798,10.952173240328193,11.087072861433626,29701200
2023-02-15,11.154523849487305,11.2725614324475,10.901587435246567,10.952174396468614,35211800
2023-02-16,11.028054237365723,11.213541614367267,10.926879523746285,11.171385282676216,34528900
2023-02-17,11.129228591918945,11.171384922249894,10.969035501539489,10.994328978112009,13404000
2023-02-22,11.137660026550293,11.221972687270874,11.002760412649462,11.002760412649462,29184000
2023-02-23,11.171384811401367,11.297852997074203,11.061778675254521,11.137659908284268,24914000
2023-02-24,11.230403900146484,11.297853710640775,11.028054468663614,11.146092039061203,26791100
2023-02-27,11.297853469848633,11.348441228673753,11.179816706031936,11.280991419617026,30248900
2023-02-28,11.289422988891602,11.458047513656286,11.24726665668414,11.323147893844538,39333900
2023-03-01,11.35687255859375,11.4917721755523,11.179816610319365,11.314716227277918,28582000
2023-03-02,11.070210456848145,11.415890925893665,11.019622698518614,11.356872544563496,47796400
2023-03-03,11.05334758758545,11.146091677051775,10.952172875130026,11.061779014639685,22570600
2023-03-06,11.382165908813477,11.449615716540494,11.070210347059737,11.112366677905406,29101800
2023-03-07,11.323148727416992,11.483341836720037,11.213542577234819,11.356873634852645,23803700
2023-03-08,11.483341217041016,11.500204071881475,11.25569830515103,11.297853834121831,24867300
2023-03-09,11.466479301452637,11.618240976480134,11.432754395439284,11.432754395439284,19988600
2023-03-10,11.39059829711914,11.550791402974216,11.348441962715636,11.39902972481288,25089300
2023-03-13,11.474908828735352,11.576083537110424,11.356872070996989,11.38216554707448,15168800
2023-03-14,11.761570930480957,11.87117706581237,11.458046804685198,11.47490885408574,52093500
2023-03-15,11.820591926574707,11.888041742652474,11.592948194263315,11.635104530328228,36367400
2023-03-16,12.022939682006836,12.149407868329924,11.803727408586038,11.803727408586038,29043700
2023-03-17,11.989215850830078,12.140977527175771,11.87960970431835,11.97235299564434,52021500
2023-03-20,11.904902458190918,12.031371452188205,11.845884076764603,11.972352266696747,33729400
2023-03-21,11.761570930480957,11.955489725010414,11.719414600881935,11.921764822144219,16500900
2023-03-22,11.761570930480957,11.879608492545197,11.710983978214218,11.727846027614762,16107100
2023-03-23,11.618240356445312,11.93019592143688,11.525497070874351,11.812159158722046,26202600
2023-03-24,11.710983276367188,11.820589405129832,11.592945721377017,11.668826949294623,27154200
2023-03-27,11.744709968566895,11.8964716434844,11.702553635064461,11.803728353031191,15709700
2023-03-28,12.30117130279541,12.672145268172171,11.719415670191283,11.761572003636756,121741000
2023-03-29,12.486659049987793,12.579402343007905,12.216858990543932,12.360190045980143,40734700
2023-03-30,12.495088577270508,12.689007378107146,12.436070196351379,12.646851047136995,24247000
2023-03-31,12.081957817077637,12.579400733587626,11.963920255918708,12.53724440431193,68236900
2023-04-03,12.081957817077637,12.098820670413957,11.837452072156722,11.997645158526245,24136100
2023-04-04,12.166271209716797,12.326464305752042,11.997645882439507,12.149408355363008,25925800
2023-04-05,12.14097785949707,12.334896679115031,11.980784751173722,12.23372195742683,20359100
2023-04-06,12.166271209716797,12.318032878575147,12.006077309616403,12.006077309616403,39044600
2023-04-10,12.191564559936523,12.461363794259997,12.090389847065222,12.225289464226957,31288100
2023-04-11,12.46136474609375,12.537245987559533,12.132547105162296,12.216858970295785,43646400
2023-04-12,12.444501876831055,12.587832922609886,12.343327162881025,12.495088831773495,38015500
2023-04-13,12.30117130279541,12.511952165957592,12.166271679022042,12.419208071564515,25996600
2023-04-14,12.35175895690918,12.419208772603268,12.174702989695895,12.225290753499074,14511000
2023-04-17,12.436070442199707,12.452933296547181,12.284307969333032,12.419207587852231,12975100
2023-04-18,12.334896087646484,12.49508918828844,12.2590148490026,12.444502231902632,17645400
2023-04-19,12.292739868164062,12.377052535006111,12.166271671966172,12.250583534743038,22727300
2023-04-20,12.309602737426758,12.478227267241127,12.275877831463884,12.31803336086859,25584600
2023-04-24,12.0903902053833,12.427639258282559,12.031371822142223,12.360189447702707,39968000
2023-04-25,12.048233032226562,12.124114264851439,11.854315041354196,12.039801605475995,29356500
2023-04-26,11.980783462524414,12.124114503849027,11.93019570508891,11.972352035607642,19935800
2023-04-27,11.938628196716309,12.01450943760424,11.812159997946553,11.955491052053715,16155400
2023-04-28,11.938628196716309,11.989215958663328,11.786865714940443,11.888041238834486,21948100
2023-05-02,12.022939682006836,12.073526634910023,11.770002505295539,11.854315165554345,26656000
2023-05-03,12.292739868164062,12.377052535006111,11.913334475505208,12.014509193276556,34868300
2023-05-04,12.334896087646484,12.908220287120129,12.199996465197433,12.815476193637524,54120800
2023-05-05,12.216858863830566,12.40234625201212,12.056665758627316,12.368621345439582,25846600
2023-05-08,12.233720779418945,12.34332691837662,12.166270971455013,12.284307733359327,18558200
2023-05-09,12.225289344787598,12.28430772570297,12.17470158681361,12.216857917781077,14106700
2023-05-10,12.14097785949707,12.216859101779525,12.03980313780887,12.17470276672647,32128700
2023-05-11,12.225289344787598,12.360188960631385,12.149408109859184,12.149408109859184,24022900
2023-05-12,12.183134078979492,12.225290413632646,12.031372399919427,12.14940917207001,17911800
2023-05-15,12.32646369934082,12.360188602324122,12.199995514169718,12.20842613686671,12250300
2023-05-16,12.309602737426758,12.511952173204001,12.309602737426758,12.368621121845491,12620000
2023-05-17,12.275877952575684,12.360189816282084,12.19999671239429,12.351758388691886,21093400
2023-05-18,12.26744556427002,12.301170467924479,12.115683095792392,12.259014137340124,28578200
2023-05-19,12.292739868164062,12.45293377435092,12.140977389474449,12.309602723158545,26033100
2023-05-22,12.32646369934082,12.511951067781535,12.275876746898424,12.436069835052828,19796100
2023-05-23,12.30117130279541,12.368621114682094,12.191565157463252,12.292739875293279,12569600
2023-05-24,12.360189437866211,12.478227008319596,12.2168583894818,12.2168583894818,13887400
2023-05-25,12.427639961242676,12.587833873479948,12.351758719031887,12.520384059084847,20059400
2023-05-26,12.444501876831055,12.562538641073514,12.343327162881025,12.486658208659856,9976800
2023-05-29,12.444501876831055,12.520383113309865,12.309602258231013,12.368620640352244,5236900
2023-05-30,12.208427429199219,12.55410872645181,12.1578404714019,12.503520964589294,24198200
2023-05-31,12.149408340454102,12.183133245055144,12.006077294883381,12.174701817888597,41149000
2023-06-01,12.00607681274414,12.157839279386941,11.980783336325379,12.09882089972146,21073100
2023-06-02,12.191564559936523,12.326464177098261,12.014508611395458,12.140976801468302,26641200
2023-06-05,12.149408340454102,12.242152431155832,12.090389958418564,12.157839767620649,13795200
2023-06-06,12.495088577270508,12.52038285829168,12.14940811063252,12.191564441602669,38723100
2023-06-07,12.520383834838867,12.672145512477112,12.351758497806067,12.554108741432389,29670300
2023-06-09,12.76488971710205,12.79018319624577,12.55410884808556,12.579402327229282,27318300
2023-06-12,12.781749725341797,12.840768101931438,12.58783174279579,12.76488767662979,23053500
2023-06-13,12.874494552612305,12.899788029176745,12.689007181654462,12.823906795418303,17207900
2023-06-14,12.92508316040039,13.009395831828996,12.714302285894101,12.866064772839502,38582700
2023-06-15,12.80704402923584,12.941944447987211,12.638419510878036,12.8407689329074,19514800
2023-06-16,12.7058687210083,12.882924657978132,12.68900667199765,12.764887902708304,42108400
2023-06-19,12.739594459533691,12.798613645108698,12.67214465093238,12.705869555233036,8520800
2023-06-20,12.76488971710205,12.773320340773154,12.65528356872565,12.69743990334199,17804600
2023-06-21,12.882925033569336,12.908219313920382,12.714300518221265,12.756456848074562,15349000
2023-06-22,13.11056900024414,13.152725330958875,12.807044062350162,12.807044062350162,24788600
2023-06-23,13.059981346130371,13.144294008228382,13.017825015081366,13.110569104202204,15765000
2023-06-26,12.933514595031738,13.068414226134953,12.807045587823554,13.059982798174696,17722200
2023-06-27,12.967238426208496,13.034688236160115,12.807044524524535,12.97566985346874,13978600
2023-06-28,12.8323392868042,13.009395245573236,12.78175152541368,13.000963817997285,21624500
2023-06-29,12.8323392868042,12.941945433096002,12.807045004076345,12.874495620618768,14781100
2023-06-30,12.992531776428223,13.043119535428097,12.857632157848759,12.9419448214935,18270700
2023-07-03,12.992531776428223,13.06841301289546,12.916650539960987,13.06841301289546,9309100
2023-07-04,12.76488971710205,12.984101209789642,12.73116481022202,12.984101209789642,12338500
2023-07-05,12.823907852172852,12.908220519755602,12.731164561083977,12.764889467304041,16649000
2023-07-06,12.503520965576172,12.866064314101417,12.478227486675516,12.773320218023686,28789100
2023-07-07,12.520383834838867,12.714301846735314,12.486658928245348,12.503520979509508,18082900
2023-07-10,12.65528392791748,13.304488604800579,12.587834112243009,13.026257914127076,30024500
2023-07-11,12.334896087646484,12.613126759963947,12.292739754614862,12.596263905125229,26625300
2023-07-12,12.385482788085938,12.486658306897107,12.292739500585052,12.318032978255264,17859500
2023-07-13,12.444501876831055,12.554108017959877,12.334895735702235,12.360189213173454,13600600
2023-07-14,12.427639961242676,12.478227724071607,12.275878280886309,12.402346481860818,13152500
2023-07-17,12.495088577270508,12.503520004277565,12.334895484462098,12.410776719395344,21044500
2023-07-18,12.368620872497559,12.587833158869573,12.32646453987753,12.461364161009488,49083400
2023-07-19,12.334896087646484,12.436070804483274,12.199996465197433,12.40234589887101,34813800
2023-07-20,12.579401016235352,12.638419396108354,12.216857702009488,12.436069975916528,42121000
2023-07-21,12.899788856506348,13.043119906339264,12.545676945632689,12.545676945632689,44120600
2023-07-24,12.748025894165039,12.958806747185093,12.655282608299666,12.832338556999117,28477500
2023-07-25,12.67214584350586,12.874496092418086,12.46979639865885,12.849201808763295,25287600
2023-07-26,12.629988670349121,12.689007857563436,12.537245381962578,12.621558047088646,22007900
2023-07-27,12.393914222717285,12.680576316701066,12.377052172282147,12.604695079580045,24140400
2023-07-28,12.613125801086426,12.646850704134847,12.360188626190705,12.436069859065933,15430600
2023-07-31,12.528814315795898,12.731164557118433,12.452933879873285,12.621558410921073,16905900
2023-08-01,12.629988670349121,12.672145002912156,12.360189428449965,12.48665842613907,18921400
2023-08-02,12.689008712768555,12.807045487022215,12.528814799045417,12.60469604196004,22855900
2023-08-03,12.334896087646484,13.026257054730461,12.267446276421959,12.714301476800737,63225600
2023-08-04,12.402345657348633,12.562538754871,12.259014610271441,12.36018932513796,22648600
2023-08-07,12.377052307128906,12.436070690392627,12.259014736536296,12.436070690392627,15395800
2023-08-08,12.225289344787598,12.377051814644425,12.191564440826651,12.208426490774556,15367000
2023-08-09,12.124114990234375,12.225289705099101,12.04823375306954,12.191564800144192,19585700
2023-08-10,12.115683555603027,12.326464412459165,12.073527223418768,12.208426843156271,9563200
2023-08-11,12.107253074645996,12.1999971735132,12.039803259505423,12.17470288978657,15263200
2023-08-14,12.081957817077637,12.183132524900246,11.980783109255027,12.107251293017013,17113600
2023-08-15,11.972352981567383,12.15784036806646,11.955490930466661,12.115684034216871,14551800
2023-08-16,11.955490112304688,12.098821155145458,11.921765208345985,11.972352162251472,39194000
2023-08-17,11.989215850830078,12.107252620869485,11.87117827672548,11.997646474357756,39513800
2023-08-18,12.107253074645996,12.12411593046375,11.94705996470344,11.989216300182603,20322700
2023-08-21,12.065096855163574,12.166271572104474,12.022940522088572,12.140977289820366,18739800
2023-08-22,12.157840728759766,12.233721971127197,12.006078244024902,12.031372527524189,27151300
2023-08-23,12.183134078979492,12.301171655195281,12.090390785994718,12.090390785994718,27857800
2023-08-24,11.963921546936035,12.216858745819362,11.938628068267258,12.183133839572598,26953700
2023-08-25,11.795297622680664,12.014509926597754,11.525498358822853,12.014509926597754,55070100
2023-08-28,11.980783462524414,12.065096123561878,11.685689952958418,11.820590371431384,35551200
2023-08-29,12.022939682006836,12.090389488587832,11.947058448586935,12.03137110884574,14591500
2023-08-30,11.955490112304688,12.090389728139499,11.947058685298728,11.997645639204215,25045400
2023-08-31,11.668828964233398,11.938628217581853,11.55922281654429,11.921766166280173,44974800
2023-09-01,11.694122314453125,11.803728460935348,11.542359834083095,11.677260263337116,20325700
2023-09-04,11.685689926147461,11.786864636721212,11.601378069368563,11.727846256569471,23856400
2023-09-05,11.812158584594727,11.98078309746649,11.651964694317725,11.71941449946643,37047300
2023-09-06,11.786864280700684,11.938626744009909,11.77000223148027,11.79529570734344,26849800
2023-09-08,11.550790786743164,11.77000307069432,11.550790786743164,11.761571643450393,23119600
2023-09-11,11.694122314453125,11.736278648340932,11.559222689264294,11.62667250185871,14866900
2023-09-12,11.559223175048828,11.719416285676495,11.51706683938937,11.677260754082262,18024700
2023-09-13,11.500204086303711,11.651965759732297,11.491772658872907,11.559222470188985,32126800
2023-09-14,11.407459259033203,11.567653153655021,11.382165782432699,11.533928250165975,21983200
2023-09-15,11.314716339111328,11.474909434816652,11.297853484792267,11.42432247998977,39186700
2023-09-18,11.289422988891602,11.365303421986841,11.221973178985726,11.289422988891602,19997200
2023-09-19,11.323148727416992,11.42432344972395,11.213542577234819,11.221974005110036,25991300
2023-09-20,11.35687255859375,11.432753794149221,11.34000970444136,11.35687255859375,15729400
2023-09-21,11.162954330444336,11.29785395434279,11.129229424469724,11.230404142393562,29875400
2023-09-22,11.061779022216797,11.19667863891643,11.044916972161912,11.171385161801533,16325200
2023-09-25,11.146092414855957,11.23883570639619,11.053348319250532,11.087073225634724,20229100
2023-09-26,10.994329452514648,11.1545225498064,10.960604547607693,11.120797644899444,29094600
2023-09-27,10.935311317443848,11.04491746188847,10.842567223801764,11.028054607020755,32045700
2023-09-28,10.943742752075195,11.070211760762717,10.901587219911258,10.96060560819296,43949200
2023-09-29,11.05334758758545,11.10393534584573,11.002760633390308,11.028054110487878,22876500
2023-10-02,11.03648567199707,11.087072626808501,10.943741581400865,11.05334772224583,17955500
2023-10-03,11.00275993347168,11.20510934551047,10.910015849905085,11.011191359989567,31511700
2023-10-04,11.137660026550293,11.188247783795667,10.99432898576438,11.002760412649462,15774100
2023-10-05,10.867860794067383,11.15452207145061,10.84256651342303,11.112366545173602,31497000
2023-10-06,11.120797157287598,11.196678391017386,10.741391792703784,10.791979549878683,40211800
2023-10-09,11.103935241699219,11.120797291584399,11.002760530192738,11.087072387748906,15459500
2023-10-10,11.171384811401367,11.264128093957106,11.061778675254521,11.103935005167171,18408800
2023-10-11,11.205109596252441,11.238834499013585,11.120796937317031,11.171384693491298,14042700
2023-10-13,10.943742752075195,11.196679965385004,10.893155791852376,11.196679965385004,24773100
2023-10-16,10.969035148620605,11.028053526745996,10.918447393038058,10.969035148620605,12422600
2023-10-17,10.791980743408203,10.952173851392407,10.775117887796597,10.876292609270601,21533400
2023-10-18,10.564335823059082,10.775116669990393,10.530610919712677,10.741391766643988,41902700
2023-10-19,10.55590534210205,10.699235580201238,10.547473915135884,10.589630245901589,15581700
2023-10-20,10.530611038208008,10.648648603281199,10.454729803808466,10.496886134482114,14749400
2023-10-23,10.522180557250977,10.59806179847258,10.437868692388799,10.505318505904622,11943700
2023-10-24,10.55590534210205,10.614923722734959,10.395711446005397,10.606492295768792,32749400
2023-10-25,10.48845386505127,10.57276651962617,10.454728964034322,10.547473044879725,14976900
2023-10-26,10.648649215698242,10.775117410927404,10.463161832505655,10.522180216403907,25002300
2023-10-27,10.36198616027832,10.648648234041016,10.353554733622923,10.60649190482913,27730300
2023-10-30,10.421005249023438,10.530611390818967,10.370418293773291,10.45473015387859,26078000
2023-10-31,10.842568397521973,10.91844964451057,10.631787513249314,10.91844964451057,64210200
2023-11-01,10.952173233032227,10.96060466036199,10.75825522883864,10.876291995194679,40528700
2023-11-03,11.205109596252441,11.272559401774728,11.002760179685584,11.044916509153289,27360200
2023-11-06,11.39059829711914,11.441185255151185,11.20511090818284,11.247267242586345,20562100
2023-11-07,11.441184043884277,11.458046897486506,11.34844076126737,11.38216566440671,20565500
2023-11-08,11.415891647338867,11.533929221523916,11.399029596206827,11.458047981266755,29629700
2023-11-09,11.30628490447998,11.441184522682715,11.272559999929296,11.441184522682715,18858200
2023-11-10,11.255699157714844,11.373735934278068,11.255699157714844,11.340011026107828,15140600
2023-11-13,11.323148727416992,11.42432344972395,11.2051111493596,11.272560964230905,16559200
2023-11-14,11.550790786743164,11.59294711889764,11.340009930035935,11.382166262190411,24478100
2023-11-16,11.525497436523438,11.635103579711021,11.424322720673015,11.550790914469752,45772900
2023-11-17,11.466479301452637,11.584516070466782,11.399029489425931,11.559222591973063,36893100
2023-11-20,11.466479301452637,11.559222591973063,11.356873155892943,11.474909924907088,15170600
2023-11-21,11.331578254699707,11.483340725507093,11.264128446355345,11.46647867545357,17196400
2023-11-22,11.441184043884277,11.466478324287621,11.323147284929142,11.373734237605596,29650400
2023-11-23,11.424324035644531,11.6013800097787,11.188249671487393,11.47491099735986,32233900
2023-11-24,11.289422988891602,11.415891181448824,11.196678897222155,11.382166276495887,18133100
2023-11-27,11.449616432189941,11.491772765670559,11.272560474823491,11.331578859257247,22972800
2023-11-28,11.508634567260742,11.559222327154412,11.39902922827726,11.39902922827726,14913700
2023-11-29,11.213541984558105,11.542359613660196,11.213541984558105,11.491772657213033,19363500
2023-11-30,11.5423583984375,11.584514727081876,11.171384475310179,11.213540803954556,41991100
2023-12-01,11.87117862701416,11.87117862701416,11.466479739397075,11.542360177776368,30042200
2023-12-04,11.854314804077148,11.879608279757461,11.795295622069627,11.829020524331742,9861400
2023-12-05,12.00607681274414,12.11568294931226,11.862745772929298,11.871177199757257,36765000
2023-12-06,11.795297622680664,12.073528314550341,11.72784780671621,12.031372782621482,20919500
2023-12-07,11.87117862701416,12.03980316352128,11.820591668094632,11.820591668094632,11940500
2023-12-08,12.065096855163574,12.216858528542335,11.947059283366604,12.039802572879468,16690900
2023-12-11,12.073526382446289,12.132545565019377,11.989214528015607,12.006076577275703,11080900
2023-12-12,11.997645378112793,12.09038946502979,11.955489852130649,12.039801708160054,10541600
2023-12-13,12.393914222717285,12.478226887088452,11.92176555362119,12.031371695677645,53960800
2023-12-14,12.225289344787598,12.537244907442638,12.056664824982866,12.520382857494733,60791700
2023-12-15,12.199995994567871,12.284307853313509,12.132546185945303,12.225289471785048,33747300
2023-12-18,12.26744556427002,12.343326798508834,12.166270853306644,12.225289233685665,24363100
2023-12-19,12.393914222717285,12.461364032588156,12.267446030225692,12.301170935161128,32674700
2023-12-20,12.190035820007324,12.376346448090121,12.127932559344215,12.367474311968685,24316200
2023-12-21,12.154548645019531,12.261011744780909,12.056957681761647,12.261011744780909,28969600
2023-12-22,12.163421630859375,12.269884738054762,12.119061791337906,12.145677356613362,19864700
2023-12-26,12.216653823852539,12.252141526879464,12.145677571705109,12.172293983545488,6884800
2023-12-27,12.278756141662598,12.278756141662598,12.172293040827164,12.225524168198124,10305900
2023-12-28,12.181163787841797,12.287627730020663,12.181163787841797,12.243267895128382,16500300
